LOCATION_NAME,DELAY_REASON,count
HOTAZEL SDG. KUDUMANE MANAGEME,TRAFFIC REFUSED (WAIT ON INSTRUCTIONS),24
HOTAZEL SDG. KUDUMANE MANAGEME,CONTAINER TERMINAL TRAFFIC,24
HOTAZEL SDG.ASSOCIATED MANAGAN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1519
HOTAZEL SDG.ASSOCIATED MANAGAN,FREE TIME ALLOWED INTERUPPTED BY TFR,1317
HOTAZEL SDG.ASSOCIATED MANAGAN,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,256
HOTAZEL SDG.ASSOCIATED MANAGAN,SLOW LOADING/OFFLOADING PROCESS,150
HOTAZEL SDG.ASSOCIATED MANAGAN,TPT RESPONSIBLE,129
HOTAZEL SDG.ASSOCIATED MANAGAN,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),50
HOTAZEL SDG.ASSOCIATED MANAGAN,NULL,50
HOTAZEL SDG.ASSOCIATED MANAGAN,CONTAINER TERMINAL TRAFFIC,8
HOTAZEL SDG.ASSOCIATED MANAGAN,STORAGE OF WAGONS,8
HOTAZEL SDG.ASSOCIATED MANAGAN,RELEASE INFORMATION NOT FURNISHED,3
HOTAZEL SDG.SOUTH 32 MANGANESE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,395
HOTAZEL SDG.SOUTH 32 MANGANESE,FREE TIME ALLOWED INTERUPPTED BY TFR,252
HOTAZEL SDG.SOUTH 32 MANGANESE,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,154
HOTAZEL SDG.SOUTH 32 MANGANESE,TPT RESPONSIBLE,26
IMPALA,SHUNT NOT EXECUTED TFR,2
ISANDO SDG.A.E.C.I LIMITED,NULL,617
ISANDO SDG.A.E.C.I LIMITED,SLOW LOADING/OFFLOADING PROCESS,559
ISANDO SDG.A.E.C.I LIMITED,PLANT BREAKDOWN UNABLE TO OFFLOAD PRODUCT,150
ISANDO SDG.A.E.C.I LIMITED,"CUSTOMER MAINTENANCE, CUSTOMER RESPONSIBILITY.",105
ISANDO SDG.A.E.C.I LIMITED,DERAILMENT IN PRIVATE SIDINGS,35
ISANDO SDG.A.E.C.I LIMITED,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,27
ISANDO SDG.A.E.C.I LIMITED,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",21
ISANDO SDG.A.E.C.I LIMITED,RELEASE INFORMATION NOT FURNISHED,8
ISANDO SDG.A.E.C.I LIMITED,CONTAINER TERMINAL TRAFFIC,2
ISIPINGO SITE CAR TRAIN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,144
ISIPINGO SITE CAR TRAIN,TPT RESPONSIBLE,99
ISIPINGO SITE CAR TRAIN,CONTAINER TERMINAL TRAFFIC,4
ISLAND VIEW SDG.ISLAND VIEW HOLDINGS 1,STORAGE OF WAGONS,43
ISLAND VIEW SDG.ISLAND VIEW HOLDINGS 1,"PPP AGREEMENT ",15
ISLAND VIEW SDG.ISLAND VIEW HOLDINGS 1,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,7
ISLAND VIEW SDG.SHELL SOUTH AFRICA 1,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,47
ISLAND VIEW SDG.SHELL SOUTH AFRICA 1,TPT RESPONSIBLE,7
ISLAND VIEW SDG.SHELL SOUTH AFRICA 1,SHUNT NOT EXECUTED TFR,5
ISLAND VIEW SDG.SOUTH AFRICAN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2251
ISLAND VIEW SDG.SOUTH AFRICAN,SILOS FULL,63
ISLAND VIEW SDG.SOUTH AFRICAN,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,60
ISLAND VIEW SDG.SOUTH AFRICAN,PLANT BREAKDOWN UNABLE TO OFFLOAD PRODUCT,50
ISLAND VIEW SDG.SOUTH AFRICAN,TPT RESPONSIBLE,37
ISLAND VIEW SDG.SOUTH AFRICAN,NULL,31
ISLAND VIEW SDG.SOUTH AFRICAN,"CUSTOMER MAINTENANCE, CUSTOMER RESPONSIBILITY.",6
ISLAND VIEW SDG.TOTAL S.A,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,115
ISLAND VIEW SDG.TOTAL S.A,SCHEDULED MAINTENANCE - CUSTOMER.,23
ISLAND VIEW SDG.TOTAL S.A,"WEATHER CONDITIONS (STRONG WIND, HEAVY RAIN ETC)",19
ISLAND VIEW SDG.TOTAL S.A,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",12
ISLAND VIEW SDG.TOTAL S.A,TPT RESPONSIBLE,5
ISWEPE,NULL,1
JUPITER SDG.PRETORIA PORTLAND,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),165
JUPITER SDG.PRETORIA PORTLAND,SLOW LOADING/OFFLOADING PROCESS,88
JUPITER SDG.PRETORIA PORTLAND,"CUSTOMER MAINTENANCE, CUSTOMER RESPONSIBILITY.",50
JUPITER SDG.PRETORIA PORTLAND,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,50
