CORRIDOR_NAME,DELAY_REASON,count
CONTAINER CORRIDOR,SILOS FULL,95
CONTAINER CORRIDOR,SHUNT NOT EXECUTED,89
CONTAINER CORRIDOR,TRAFFIC REFUSED (WAIT ON INSTRUCTIONS),59
CONTAINER CORRIDOR,CUSTOMER NOT RESPONDING TO WAGON DELAYS NOTIFICATION WITHIN 48 HOURS,57
CONTAINER CORRIDOR,WAGON LABELS NOT ATTACHED OR INCOMPLETE OR COMPLETED INCORRECTLY,52
CONTAINER CORRIDOR,WAIT FOR TARPS / SHORTAGE OF TARPS,49
CONTAINER CORRIDOR,DEDICATED TRUCKS (RING FENCED),49
CONTAINER CORRIDOR,SIDING FULL,44
CONTAINER CORRIDOR,WAGONS DELAYED EN ROUTE,40
CONTAINER CORRIDOR,CONTAMINATION OF LOAD. WAGON TO BE FUMIGATED,40
CONTAINER CORRIDOR,"PPP AGREEMENT ",33
CONTAINER CORRIDOR,DELAY IN FUEL PIPELINE,13
CONTAINER CORRIDOR,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,5
CONTAINER CORRIDOR,"WEIGHBRIDGE TEST WAGONS ",2
NORTH CORRIDOR,TPT RESPONSIBLE,28708
NORTH CORRIDOR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,15194
NORTH CORRIDOR,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",9702
NORTH CORRIDOR,NULL,9250
NORTH CORRIDOR,SHUNT NOT EXECUTED TFR,2525
NORTH CORRIDOR,WAGONS DIRTY,2364
NORTH CORRIDOR,DEDICATED TRUCKS (RING FENCED),510
NORTH CORRIDOR,FORCE MAJEURE DECLARED BY TFR IN WRITING,379
NORTH CORRIDOR,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",350
NORTH CORRIDOR,SPECIAL OR NON-REVENUE EARNING WAGONS,232
NORTH CORRIDOR,Customers with THT agreement,141
NORTH CORRIDOR,STORAGE OF WAGONS,119
NORTH CORRIDOR,SLOW LOADING/OFFLOADING PROCESS,88
NORTH CORRIDOR,"PPP AGREEMENT ",79
NORTH CORRIDOR,FREE TIME ALLOWED INTERUPPTED BY TFR,61
NORTH CORRIDOR,WAGONS DELAYED EN ROUTE,39
NORTH CORRIDOR,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,18
NORTH CORRIDOR,DERAILMENT IN PRIVATE SIDINGS,10
NORTH CORRIDOR,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,10
NORTH CORRIDOR,LINE OUT OF ORDER. THEFT OF INFRASTRUCTURE,3
NORTH CORRIDOR,ELECTRONIC DATA INTERFACE PROB,2
NORTH EAST CORRIDOR,FREE TIME ALLOWED INTERUPPTED BY TFR,5377
NORTH EAST CORRIDOR,SHUNT NOT EXECUTED TFR,3693
NORTH EAST CORRIDOR,NULL,3043
NORTH EAST CORRIDOR,WAIT FOR TARPS / SHORTAGE OF TARPS,2694
NORTH EAST CORRIDOR,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1811
NORTH EAST CORRIDOR,SLOW LOADING/OFFLOADING PROCESS,1260
NORTH EAST CORRIDOR,SPECIAL OR NON-REVENUE EARNING WAGONS,447
NORTH EAST CORRIDOR,STORAGE OF WAGONS,386
NORTH EAST CORRIDOR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,297
NORTH EAST CORRIDOR,IMPORT/EXPORT TRAFFIC - FOREIGN RAILWAY WAGONS,237
NORTH EAST CORRIDOR,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,229
NORTH EAST CORRIDOR,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,124
NORTH EAST CORRIDOR,WRONG TYPE OF WAGON SUPPLIED,50
NORTH EAST CORRIDOR,"WEATHER CONDITIONS (STRONG WIND, HEAVY RAIN ETC)",40
NORTH EAST CORRIDOR,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),40
NORTH EAST CORRIDOR,DERAILMENT IN PRIVATE SIDINGS,24
NORTH EAST CORRIDOR,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",5
NORTH EAST CORRIDOR,"WEIGHBRIDGE TEST WAGONS ",2
NORTH EAST CORRIDOR,ELECTRONIC DATA INTERFACE PROB,2
NORTH EAST CORRIDOR,CONTAINER TERMINAL TRAFFIC,1
ORELINE CORRIDOR,DEDICATED TRUCKS (RING FENCED),124663
ORELINE CORRIDOR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1337
ORELINE CORRIDOR,SPECIAL OR NON-REVENUE EARNING WAGONS,265
ORELINE CORRIDOR,NULL,166
ORELINE CORRIDOR,TPT RESPONSIBLE,21
